"Road lengths (miles) by road type in Great Britain, 1914 - 2021",,,,,,,,,,,,,,
Table RDL0103,,,,,,,,,,,,,,
Department for Transport statistics,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,
"Notes are used throughout this table, please see the notes tab to find the related notes text",,,,,,,,,,,,,,
Values in this table may not sum due to rounding,,,,,,,,,,,,,,
Some symbols are used in this table . Is used where data not applicable and : where value not available ,,,,,,,,,,,,,Miles,
Year,Trunk Motorways,Principle Motorways,Total Motorways,Trunk 'A' roads,Principle 'A' Roads,Total 'A' Roads,All major roads,'B' road,C' road,U' road,'C' and 'U' roads,All minor roads,All roads,
1914,0,0,0,.,:,:,:,:,.,:,:,:,176993,
1923,0,0,0,.,23229,23229,23229,14739,.,139352,:,154091,177320,
1928,0,0,0,.,25139,25139,25139,15686,.,137942,:,153628,178767,
1933,0,0,0,.,26585,26585,26585,16644,.,134118,:,150762,177347,
1938,0,0,0,3078,24405,27483,27483,17037,.,135334,:,152371,179853,
1943,0,0,0,4459,23180,27639,27639,17729,.,135334,:,:,:,
1947,0,0,0,8190,19517,27708,27708,17708,48323,89313,137636,155343,183051,
1951,0,0,0,8249,19533,27782,27782,17697,48682,90676,139358,157055,184837,
1952,0,0,0,8248,19563,27811,27811,17691,48678,91343,140021,157712,185523,
1953,0,0,0,8254,19551,27805,27805,17700,48693,92063,140756,158456,186261,
1954,0,0,0,8270,19585,27855,27855,17690,48721,92774,141495,159185,187040,
1955,0,0,0,8270,19606,27876,27876,17696,48781,93742,142523,160219,188095,
1956,0,0,0,8270,19670,27940,27940,17646,48818,94633,143451,161097,189037,
1957,0,0,0,8271,19736,28007,28007,17605,48849,95690,144539,162144,190151,
1958,0,0,0,8309,19706,28015,28015,17603,48853,96675,145528,163130,191146,
1959,8,0,8,8319,19725,28044,28052,17603,48873,98533,147405,165008,193060,
1960,95,0,95,8343,19738,28081,28176,17606,48913,99485,148398,166004,194180,
1961,130,6,136,8338,19741,28079,28215,17620,48927,100455,149382,167002,195217,
1962,145,6,151,8339,19752,28091,28242,17615,48955,101323,150278,167893,196135,
1963,194,6,200,8347,19791,28138,28338,17608,48982,103527,152509,170117,198455,
